Respondent ID,Start Date,End Date,IP Address,Year Established,Industry
1.19E+11,9/5/2024,9/5/2024,201.174.191.74,2013,Manufacturing - Auto Parts/Equipments
1.19E+11,9/5/2024,9/5/2024,67.169.54.118,2010,Government
1.19E+11,9/5/2024,9/5/2024,45.62.182.98,1980,Retail - Other
1.19E+11,9/5/2024,9/5/2024,209.137.144.158,1972,Manufacturing - Food/Beverage
1.19E+11,9/4/2024,9/5/2024,216.98.101.181,1972,Manufacturing - Metals/Non Metals
1.19E+11,9/5/2024,9/5/2024,116.82.48.149,2014,Trading company - Other
1.19E+11,9/4/2024,9/4/2024,68.252.211.193,2010,Real Estate & Construction - Real Estate Agency/Property Management
1.19E+11,9/4/2024,9/4/2024,34.103.71.20,2019,Manufacturing - Automobile Manufacturers
1.19E+11,9/4/2024,9/4/2024,68.230.181.23,2011,Manufacturing - Other
1.19E+11,9/4/2024,9/4/2024,12.18.189.162,2017,Retail - Apparel
1.19E+11,8/27/2024,9/4/2024,76.132.69.85,1957,Consumer Products - Food/Beverage
1.19E+11,9/4/2024,9/4/2024,38.140.103.122,2021,Energy - Other
1.19E+11,9/4/2024,9/4/2024,207.5.77.26,2015,Professional Service - Consulting
1.19E+11,9/4/2024,9/4/2024,99.108.4.89,1984,Manufacturing - Other
1.19E+11,9/4/2024,9/4/2024,47.22.16.130,1995,Manufacturing - Machinery/Electrical Equipment
1.19E+11,9/4/2024,9/4/2024,166.149.7.230,2006,Transportation & Logistics - Forwarding
1.19E+11,9/3/2024,9/4/2024,98.153.222.242,1986,Transportation & Logistics - Ship/Marine
1.19E+11,8/20/2024,9/4/2024,71.56.5.88,2014,Manufacturing - Machinery/Electrical Equipment
1.19E+11,9/4/2024,9/4/2024,216.21.169.253,2023,Manufacturing - Automobile Manufacturers
1.19E+11,9/4/2024,9/4/2024,97.82.21.54,2002,Manufacturing - Auto Parts/Equipments
1.19E+11,9/4/2024,9/4/2024,47.230.37.11,1932,NPO
1.19E+11,9/4/2024,9/4/2024,96.80.235.217,1966,Trading company - Metals/Non Metals
1.19E+11,9/3/2024,9/3/2024,76.32.226.126,2006,Manufacturing - Machinery/Electrical Equipment
1.19E+11,9/3/2024,9/3/2024,162.202.210.81,2004,Trading company - Foods
1.19E+11,9/3/2024,9/3/2024,12.146.78.75,1988,Trading company - Machinery/Electrical Equipment
1.19E+11,9/3/2024,9/3/2024,173.13.162.225,2009,Real Estate & Construction - Construction/Architectural
1.19E+11,9/3/2024,9/3/2024,192.154.122.186,2014,Manufacturing - Auto Parts/Equipments
