Project,Respondent ID,Start Date,End Date,IP Address,Year Established,Industry
SSV2024,1.18E+11,10/3/2023,10/3/2023,106.186.208.220,2014,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/6/2023,10/2/2023,221.255.140.222,1994,Trading Company
SSV2024,1.18E+11,10/2/2023,10/2/2023,23.114.200.156,2017,IT
SSV2024,1.18E+11,10/2/2023,10/2/2023,99.70.85.77,1983,Hospitality
SSV2024,1.18E+11,10/2/2023,10/2/2023,73.158.249.38,1994,IT
SSV2024,1.18E+11,10/2/2023,10/2/2023,126.113.230.122,1997,Trading Company
SSV2024,1.18E+11,9/15/2023,10/2/2023,24.89.178.107,1947,Manufacturing/Industrial Products
SSV2024,1.18E+11,10/2/2023,10/2/2023,165.76.184.134,2015,Trading Company
SSV2024,1.18E+11,9/6/2023,10/2/2023,99.124.233.225,1987,Trading Company
SSV2024,1.18E+11,9/29/2023,10/2/2023,163.116.253.60,2013,Energy
SSV2024,1.18E+11,10/2/2023,10/2/2023,76.150.4.69,2008,Manufacturing/Industrial Products
SSV2024,1.18E+11,10/2/2023,10/2/2023,72.69.237.167,1979,Transportation/Logistics
SSV2024,1.18E+11,10/2/2023,10/2/2023,47.180.96.35,1998,Trading Company
SSV2024,1.18E+11,10/2/2023,10/2/2023,107.137.97.9,1991,IT
SSV2024,1.18E+11,10/2/2023,10/2/2023,99.108.4.89,1984,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/29/2023,10/2/2023,70.91.125.241,1987,Manufacturing/Industrial Products
SSV2024,1.18E+11,10/2/2023,10/2/2023,12.166.232.146,1994,Manufacturing/Industrial Products
SSV2024,1.18E+11,10/2/2023,10/2/2023,209.65.106.200,1977,Other
SSV2024,1.18E+11,9/25/2023,10/2/2023,74.220.98.197,1980,Transportation/Logistics
SSV2024,1.18E+11,9/21/2023,10/2/2023,75.103.2.166,2018,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,10/2/2023,65.217.219.130,1991,Financials
SSV2024,1.18E+11,10/2/2023,10/2/2023,163.116.197.116,2006,Consumer Products
SSV2024,1.18E+11,10/2/2023,10/2/2023,211.123.211.130,2015,Manufacturing/Industrial Products
SSV2024,1.18E+11,10/1/2023,10/1/2023,74.89.90.110,2013,Manufacturing/Industrial Products
SSV2024,1.18E+11,10/1/2023,10/1/2023,24.25.223.75,1986,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/30/2023,9/30/2023,208.127.66.77,1996,Other
SSV2024,1.18E+11,9/20/2023,9/30/2023,208.198.116.240,1970,Consumer Products
